method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_override_precision,ci95_override_precision,mean_unsafe_action_rate,ci95_unsafe_action_rate,mean_tracking_error,ci95_tracking_error,mean_damage_rate,ci95_damage_rate,mean_latency_cost,ci95_latency_cost,mean_calibration_error,ci95_calibration_error,mean_abstention_rate,ci95_abstention_rate,mean_predicted_risk,ci95_predicted_risk,mean_realized_risk,ci95_realized_risk,n
position_based_visual_servo,8,0.468945,0.003032,0.344723,0.004229,0.451430,0.000720,0.183832,0.000917,0.158412,0.001137,0.076169,0.000268,0.157500,0.000269,0.102340,0.000281,0.027465,0.000184,0.172456,0.000757,0.185689,0.000742,640
position_based_visual_servo,9,0.469303,0.003055,0.345427,0.004252,0.451284,0.000730,0.183604,0.000916,0.158332,0.001126,0.075825,0.000270,0.157464,0.000274,0.102263,0.000278,0.027458,0.000180,0.172182,0.000766,0.185349,0.000739,640
proposed_servo_foundation_arbiter_v4,0,0.733417,0.002535,0.790040,0.003471,0.660844,0.000729,0.093401,0.000699,0.092313,0.001124,0.030245,0.000246,0.212062,0.000252,0.046327,0.000270,0.064012,0.000280,0.109713,0.000773,0.091023,0.000623,640
proposed_servo_foundation_arbiter_v4,1,0.733268,0.002586,0.790095,0.003528,0.660908,0.000726,0.093199,0.000685,0.092345,0.001116,0.030150,0.000255,0.212112,0.000269,0.046311,0.000272,0.064054,0.000276,0.109553,0.000772,0.090874,0.000619,640
proposed_servo_foundation_arbiter_v4,2,0.733753,0.002577,0.790596,0.003499,0.660690,0.000735,0.093149,0.000685,0.092052,0.001125,0.030193,0.000245,0.212110,0.000262,0.046350,0.000260,0.064024,0.000284,0.109563,0.000779,0.090818,0.000619,640
proposed_servo_foundation_arbiter_v4,3,0.733386,0.002570,0.790245,0.003500,0.661018,0.000734,0.093113,0.000683,0.092461,0.001118,0.030244,0.000254,0.212125,0.000260,0.046254,0.000277,0.064030,0.000279,0.109574,0.000784,0.090903,0.000621,640
proposed_servo_foundation_arbiter_v4,4,0.732756,0.002604,0.789472,0.003525,0.660974,0.000723,0.093291,0.000701,0.092173,0.001125,0.030306,0.000248,0.212287,0.000262,0.046291,0.000283,0.064074,0.000285,0.109626,0.000778,0.090968,0.000624,640
proposed_servo_foundation_arbiter_v4,5,0.733321,0.002591,0.790273,0.003531,0.660951,0.000730,0.093154,0.000704,0.092217,0.001113,0.030023,0.000253,0.212157,0.000258,0.046392,0.000273,0.063993,0.000277,0.109426,0.000774,0.090766,0.000622,640
proposed_servo_foundation_arbiter_v4,6,0.733111,0.002599,0.789980,0.003508,0.660856,0.000742,0.093082,0.000683,0.092290,0.001120,0.030217,0.000251,0.212245,0.000258,0.046207,0.000280,0.064139,0.000282,0.109482,0.000767,0.090826,0.000614,640
proposed_servo_foundation_arbiter_v4,7,0.733585,0.002560,0.790397,0.003476,0.661050,0.000743,0.093253,0.000693,0.092428,0.001119,0.030133,0.000251,0.212093,0.000266,0.046388,0.000272,0.063963,0.000285,0.109521,0.000769,0.090923,0.000614,640
proposed_servo_foundation_arbiter_v4,8,0.732493,0.002548,0.789316,0.003466,0.661254,0.000747,0.093185,0.000687,0.092335,0.001118,0.030345,0.000257,0.212304,0.000262,0.046309,0.000274,0.063955,0.000278,0.109670,0.000775,0.090979,0.000618,640
proposed_servo_foundation_arbiter_v4,9,0.733121,0.002562,0.789999,0.003505,0.660879,0.000731,0.093212,0.000713,0.092186,0.001123,0.030167,0.000255,0.212073,0.000274,0.046200,0.000287,0.064042,0.000276,0.109536,0.000795,0.090836,0.000636,640
risk_sensitive_foundation_ensemble,0,0.683463,0.002711,0.680986,0.003729,0.618437,0.000729,0.124529,0.000785,0.113597,0.001122,0.040010,0.000255,0.250357,0.000267,0.055788,0.000277,0.075341,0.000269,0.131529,0.000813,0.118013,0.000669,640
risk_sensitive_foundation_ensemble,1,0.683425,0.002680,0.681235,0.003699,0.618537,0.000728,0.124266,0.000785,0.113604,0.001127,0.040008,0.000255,0.250192,0.000254,0.055706,0.000280,0.075239,0.000264,0.131499,0.000816,0.117872,0.000668,640
risk_sensitive_foundation_ensemble,2,0.683367,0.002703,0.680898,0.003745,0.618482,0.000728,0.124467,0.000773,0.113721,0.001130,0.040058,0.000265,0.250420,0.000261,0.055730,0.000274,0.075263,0.000269,0.131528,0.000824,0.118028,0.000676,640
risk_sensitive_foundation_ensemble,3,0.683969,0.002735,0.681571,0.003731,0.618645,0.000754,0.124543,0.000758,0.113577,0.001135,0.040071,0.000249,0.250318,0.000266,0.055681,0.000270,0.075178,0.000271,0.131531,0.000792,0.118031,0.000648,640
risk_sensitive_foundation_ensemble,4,0.683816,0.002711,0.681452,0.003741,0.618650,0.000749,0.124496,0.000773,0.113582,0.001128,0.040039,0.000258,0.250314,0.000265,0.055708,0.000284,0.075362,0.000266,0.131524,0.000817,0.117997,0.000668,640
risk_sensitive_foundation_ensemble,5,0.683746,0.002653,0.681322,0.003658,0.618261,0.000752,0.124400,0.000754,0.113694,0.001134,0.040040,0.000254,0.250145,0.000259,0.055736,0.000273,0.075257,0.000262,0.131508,0.000791,0.117981,0.000649,640
risk_sensitive_foundation_ensemble,6,0.683523,0.002689,0.681311,0.003713,0.618648,0.000736,0.124366,0.000781,0.113688,0.001121,0.039994,0.000262,0.250259,0.000270,0.055520,0.000272,0.075247,0.000267,0.131551,0.000815,0.117897,0.000666,640
risk_sensitive_foundation_ensemble,7,0.683798,0.002669,0.681202,0.003664,0.618449,0.000732,0.124614,0.000754,0.113615,0.001117,0.040126,0.000247,0.250432,0.000257,0.055730,0.000274,0.075243,0.000265,0.131618,0.000797,0.118115,0.000651,640
risk_sensitive_foundation_ensemble,8,0.684125,0.002721,0.681881,0.003746,0.618707,0.000729,0.124472,0.000784,0.113742,0.001129,0.039913,0.000256,0.250181,0.000255,0.055585,0.000280,0.075253,0.000274,0.131529,0.000820,0.117925,0.000672,640
risk_sensitive_foundation_ensemble,9,0.684002,0.002697,0.681564,0.003703,0.618447,0.000747,0.124584,0.000761,0.113543,0.001125,0.039988,0.000253,0.250289,0.000256,0.055657,0.000275,0.075281,0.000266,0.131479,0.000799,0.117991,0.000657,640
robust_mpc_handoff,0,0.619422,0.002632,0.599613,0.003650,0.599248,0.000730,0.125340,0.000762,0.115374,0.001133,0.043505,0.000255,0.282204,0.000262,0.061653,0.000272,0.077283,0.000264,0.135384,0.000802,0.121876,0.000656,640
robust_mpc_handoff,1,0.619764,0.002634,0.599674,0.003669,0.599258,0.000735,0.125657,0.000769,0.115348,0.001125,0.043447,0.000258,0.282511,0.000273,0.061772,0.000275,0.077238,0.000267,0.135588,0.000807,0.122010,0.000666,640
robust_mpc_handoff,2,0.618906,0.002592,0.599009,0.003594,0.599280,0.000742,0.125414,0.000751,0.115225,0.001132,0.043587,0.000249,0.282385,0.000263,0.061691,0.000275,0.077246,0.000263,0.135545,0.000788,0.121933,0.000643,640
robust_mpc_handoff,3,0.620002,0.002627,0.599954,0.003654,0.599228,0.000750,0.125539,0.000766,0.115331,0.001119,0.043572,0.000255,0.282469,0.000267,0.061707,0.000275,0.077214,0.000265,0.135486,0.000803,0.122011,0.000660,640
robust_mpc_handoff,4,0.619272,0.002631,0.599437,0.003651,0.599276,0.000755,0.125337,0.000774,0.115275,0.001113,0.043452,0.000249,0.282407,0.000262,0.061887,0.000271,0.077214,0.000265,0.135430,0.000800,0.121864,0.000652,640
robust_mpc_handoff,5,0.619891,0.002605,0.599986,0.003630,0.599446,0.000731,0.125524,0.000760,0.115145,0.001123,0.043564,0.000257,0.282410,0.000265,0.061751,0.000278,0.077208,0.000265,0.135510,0.000805,0.121966,0.000657,640
robust_mpc_handoff,6,0.619374,0.002628,0.599755,0.003641,0.599628,0.000742,0.125213,0.000755,0.115328,0.001115,0.043490,0.000256,0.282434,0.000265,0.061699,0.000274,0.077217,0.000274,0.135356,0.000791,0.121805,0.000648,640
robust_mpc_handoff,7,0.619734,0.002605,0.599826,0.003622,0.599487,0.000764,0.125570,0.000757,0.115345,0.001131,0.043412,0.000255,0.282359,0.000267,0.061819,0.000274,0.077211,0.000268,0.135532,0.000806,0.121956,0.000659,640
robust_mpc_handoff,8,0.619145,0.002540,0.598774,0.003548,0.599339,0.000738,0.125870,0.000757,0.115419,0.001133,0.043618,0.000257,0.282495,0.000258,0.061975,0.000271,0.077180,0.000262,0.135719,0.000801,0.122264,0.000654,640
robust_mpc_handoff,9,0.619565,0.002622,0.599556,0.003660,0.599570,0.000754,0.125575,0.000767,0.115503,0.001121,0.043581,0.000254,0.282374,0.000267,0.061800,0.000266,0.077138,0.000272,0.135644,0.000803,0.122087,0.000655,640
stability_calibrated_servo_foundation_arbiter_v5,0,0.797662,0.002389,0.925323,0.003197,0.731497,0.000723,0.056979,0.000600,0.072636,0.001119,0.016979,0.000247,0.191915,0.000259,0.028958,0.000279,0.073044,0.000314,0.093009,0.000777,0.058391,0.000574,640
stability_calibrated_servo_foundation_arbiter_v5,1,0.797479,0.002402,0.925197,0.003189,0.731312,0.000728,0.056942,0.000579,0.072623,0.001131,0.016832,0.000240,0.191907,0.000253,0.028927,0.000269,0.072997,0.000318,0.092964,0.000760,0.058279,0.000561,640
stability_calibrated_servo_foundation_arbiter_v5,2,0.797758,0.002348,0.925698,0.003135,0.731565,0.000748,0.056820,0.000599,0.072516,0.001107,0.016792,0.000245,0.191876,0.000254,0.028992,0.000265,0.072923,0.000300,0.092827,0.000773,0.058185,0.000571,640
stability_calibrated_servo_foundation_arbiter_v5,3,0.797483,0.002358,0.925318,0.003153,0.731310,0.000748,0.056724,0.000591,0.072669,0.001111,0.016942,0.000240,0.191807,0.000252,0.028916,0.000268,0.072957,0.000315,0.092840,0.000764,0.058245,0.000562,640
stability_calibrated_servo_foundation_arbiter_v5,4,0.797171,0.002387,0.924905,0.003195,0.731326,0.000747,0.056800,0.000601,0.072765,0.001112,0.016961,0.000251,0.191838,0.000261,0.028948,0.000278,0.072928,0.000306,0.092928,0.000781,0.058320,0.000579,640
stability_calibrated_servo_foundation_arbiter_v5,5,0.797074,0.002371,0.924983,0.003163,0.731386,0.000730,0.056786,0.000591,0.072628,0.001127,0.016818,0.000246,0.191823,0.000249,0.028832,0.000272,0.072920,0.000309,0.092803,0.000773,0.058180,0.000566,640
stability_calibrated_servo_foundation_arbiter_v5,6,0.797716,0.002412,0.925400,0.003209,0.731287,0.000733,0.056917,0.000592,0.072571,0.001118,0.016893,0.000248,0.191886,0.000256,0.029062,0.000262,0.072966,0.000316,0.093029,0.000770,0.058315,0.000571,640
stability_calibrated_servo_foundation_arbiter_v5,7,0.797003,0.002353,0.924867,0.003153,0.731531,0.000737,0.056861,0.000588,0.072759,0.001118,0.016866,0.000241,0.191749,0.000261,0.028796,0.000267,0.072936,0.000309,0.092857,0.000771,0.058266,0.000565,640
stability_calibrated_servo_foundation_arbiter_v5,8,0.797441,0.002360,0.925314,0.003161,0.731475,0.000726,0.056737,0.000600,0.072591,0.001114,0.016894,0.000241,0.191914,0.000259,0.029057,0.000266,0.072943,0.000318,0.092807,0.000769,0.058232,0.000567,640
stability_calibrated_servo_foundation_arbiter_v5,9,0.797309,0.002343,0.924995,0.003174,0.731210,0.000750,0.056829,0.000604,0.072621,0.001121,0.016927,0.000251,0.191957,0.000265,0.029042,0.000281,0.072922,0.000311,0.092989,0.000786,0.058299,0.000585,640
uncertainty_gated_foundation,0,0.577774,0.003054,0.472729,0.004232,0.523228,0.000729,0.189343,0.000943,0.138345,0.001121,0.064778,0.000270,0.241118,0.000269,0.079253,0.000278,0.052715,0.000218,0.160518,0.000817,0.173157,0.000746,640
uncertainty_gated_foundation,1,0.578203,0.003051,0.473028,0.004250,0.522974,0.000721,0.189283,0.000953,0.138443,0.001133,0.064911,0.000263,0.241080,0.000275,0.079273,0.000286,0.052633,0.000216,0.160572,0.000825,0.173231,0.000752,640
uncertainty_gated_foundation,2,0.578180,0.003074,0.472916,0.004264,0.523046,0.000746,0.189538,0.000950,0.138266,0.001124,0.064900,0.000268,0.241173,0.000271,0.079096,0.000275,0.052689,0.000220,0.160606,0.000814,0.173276,0.000748,640
uncertainty_gated_foundation,3,0.576974,0.003082,0.471550,0.004290,0.523232,0.000727,0.189706,0.000952,0.138345,0.001133,0.064933,0.000269,0.240969,0.000272,0.079489,0.000275,0.052792,0.000216,0.160829,0.000829,0.173464,0.000755,640
uncertainty_gated_foundation,4,0.577990,0.003060,0.472775,0.004256,0.523251,0.000749,0.189526,0.000947,0.138349,0.001131,0.064846,0.000273,0.241075,0.000274,0.079320,0.000279,0.052696,0.000211,0.160628,0.000820,0.173297,0.000750,640
uncertainty_gated_foundation,5,0.578079,0.003089,0.473001,0.004287,0.523229,0.000732,0.189391,0.000933,0.138280,0.001127,0.064831,0.000269,0.241179,0.000276,0.079126,0.000275,0.052830,0.000216,0.160459,0.000813,0.173174,0.000748,640
uncertainty_gated_foundation,6,0.578057,0.003080,0.472896,0.004288,0.523155,0.000756,0.189426,0.000955,0.138436,0.001142,0.064808,0.000270,0.240985,0.000277,0.079319,0.000281,0.052721,0.000220,0.160578,0.000829,0.173246,0.000755,640
uncertainty_gated_foundation,7,0.577889,0.003056,0.472858,0.004248,0.523428,0.000736,0.189288,0.000939,0.138291,0.001128,0.064965,0.000265,0.241113,0.000260,0.079292,0.000265,0.052795,0.000217,0.160562,0.000816,0.173234,0.000746,640
uncertainty_gated_foundation,8,0.577820,0.003084,0.472500,0.004286,0.523127,0.000729,0.189474,0.000960,0.138385,0.001114,0.064994,0.000269,0.241184,0.000274,0.079254,0.000280,0.052836,0.000222,0.160630,0.000824,0.173354,0.000753,640
uncertainty_gated_foundation,9,0.578102,0.003019,0.473037,0.004217,0.523217,0.000728,0.189358,0.000949,0.138196,0.001130,0.064889,0.000259,0.241049,0.000271,0.079246,0.000263,0.052802,0.000221,0.160531,0.000818,0.173195,0.000745,640
